exchange, uptake
EX_4abut_e,1000
EX_R3hdec4e_e,1000
EX_acnam_e,1000
EX_arg__L_e,1000
EX_asn__L_e,1000
EX_bz_e,1000
EX_ca2_e,1000
EX_cl_e,1000
EX_cobalt2_e,1000
EX_cu2_e,1000
EX_cytd_e,1000
EX_dcyt_e,1000
EX_fe2_e,1000
EX_fol_e,1000
EX_gln__L_e,1000
EX_glu__L_e,1000
EX_gly_met_e,1000
EX_glyglygln_e,1000
EX_gua_e,1000
EX_h_e,1000
EX_his__L_e,1000
EX_k_e,1000
EX_lys__L_e,1000
EX_mg2_e,1000
EX_mn2_e,1000
EX_no3_e,1000
EX_o2_e,1000
EX_ocdcea_e,1000
EX_phe__L_e,1000
EX_pnto__R_e,1000
EX_ppal_e,1000
EX_pro__L_e,1000
EX_ribflv_e,1000
EX_s_e,1000
EX_so4_e,1000
EX_thm_e,1000
EX_thr__L_e,1000
EX_thymd_e,1000
EX_trp__L_e,1000
EX_tyr__L_e,1000
EX_zn2_e,1000
